Fecha;Recurso;Código Agente;Tipo de Generación;Combustible por defecto;Tipo de Despacho;Capacidad Efectiva Neta kW
2012-01-02;AMERICA;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;410
2012-01-02;ASNAZU;GNCG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;450
2012-01-02;AYURA;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;18000
2012-01-02;BARRANQUILLA 3;GECG;TERMICA;GAS;DESPACHADO CENTRALMENTE;64000
2012-01-02;BARRANQUILLA 4;GECG;TERMICA;GAS;DESPACHADO CENTRALMENTE;63000
2012-01-02;BAYONA;MCAG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;600
2012-01-02;BELLO;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;350
2012-01-02;BELMONTE;EEPG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;3400
2012-01-02;BETANIA;ENDG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;540000
2012-01-02;CALDERAS;ISGG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;19900
2012-01-02;CALIMA;EPSG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;132000
2012-01-02;CAMPESTRE (CALARCA);MCAG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;700
2012-01-02;CAMPESTRE (EPM);EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;870
2012-01-02;CARACOLI;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;2600
2012-01-02;CARTAGENA 1;ENDG;TERMICA;COMBUSTOLEO;DESPACHADO CENTRALMENTE;61000
2012-01-02;CARTAGENA 2;ENDG;TERMICA;COMBUSTOLEO;DESPACHADO CENTRALMENTE;60000
2012-01-02;CARTAGENA 3;ENDG;TERMICA;COMBUSTOLEO;DESPACHADO CENTRALMENTE;66000
2012-01-02;CARUQUIA;LCSG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;9500
2012-01-02;CASCADA;ESSG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;3000
2012-01-02;CEMENTOS DEL NARE;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;4500
2012-01-02;CHARQUITO;ENDG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;19400
2012-01-02;CHIVOR;CHVG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;1000000
2012-01-02;CIMARRON;CTMG;TERMICA;GAS;NO DESPACHADO CENTRALMENTE;19900
2012-01-02;COCONUCO;EMEG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;4500
2012-01-02;COGENERADOR COLTEJER 1;EPMG;COGENERADOR;CARBON;NO DESPACHADO CENTRALMENTE;1600
2012-01-02;CURRUCUCUES;FACG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;1250
2012-01-02;EL BOSQUE;ERCG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;2280
2012-01-02;EL LIMONAR;ENDG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;18000
