Fecha;Recurso;Código Agente;Tipo de Generación;Combustible por defecto;Tipo de Despacho;Capacidad Efectiva Neta
2006-01-02;EL LIMONAR;EMGG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;18000
2006-01-02;ESMERALDA;CHCG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;30000
2006-01-02;FLORES 1;CRLG;TERMICA;GAS;DESPACHADO CENTRALMENTE;160000
2006-01-02;FLORES 2;TMFG;TERMICA;GAS;DESPACHADO CENTRALMENTE;112000
2006-01-02;FLORES 3;TMFG;TERMICA;GAS;DESPACHADO CENTRALMENTE;175000
2006-01-02;FLORIDA;CDIG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;19900
2006-01-02;GUACAICA;CHCG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;900
2006-01-02;GUAJIRA 1;CRLG;TERMICA;GAS;DESPACHADO CENTRALMENTE;151000
2006-01-02;GUAJIRA 2;CRLG;TERMICA;GAS;DESPACHADO CENTRALMENTE;151000
2006-01-02;GUATAPE;EPMG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;560000
2006-01-02;GUATRON;EPMG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;512000
2006-01-02;GUAVIO;EMGG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;1150000
2006-01-02;INCAUCA 1;EPSG;COGENERADOR;BAGAZO;NO DESPACHADO CENTRALMENTE;9000
2006-01-02;INGENIO RISARALDA 1;IRIG;COGENERADOR;BAGAZO;NO DESPACHADO CENTRALMENTE;5500
2006-01-02;INSULA;CHCG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;19000
2006-01-02;INTERMEDIA;CHCG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;1000
2006-01-02;IQUIRA I;HLAG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;1300
2006-01-02;IQUIRA II;HLAG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;610
2006-01-02;JAGUAS;ISGG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;170000
2006-01-02;JEPIRACHI 1 - 15;EPMG;EOLICA;VIENTO;NO DESPACHADO CENTRALMENTE;10000
2006-01-02;JULIO BRAVO;CDNG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;1500
2006-01-02;LA HERRADURA;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;19800
2006-01-02;LA JUNCA;EMGG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;19400
2006-01-02;LA PITA;HLAG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;780
2006-01-02;LA REBUSCA;EADG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;600
2006-01-02;LA TASAJERA;EPMG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;306000
2006-01-02;LA TINTA;EMGG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;19400
2006-01-02;LA VUELTA;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;11600
2006-01-02;MANANTIALES;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;3150
